Annotation Cluster 1	Enrichment Score: 1.8644400758161552
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	4	26.666666666666668	1.7691398523460392E-4	ACAN, ELN, NID2, HAPLN1	11	196	16792	31.153988868274585	0.01265813705260399	0.012737806936891482	0.012737806936891482
UP_KEYWORDS	Extracellular matrix	4	26.666666666666668	5.074336999417889E-4	ACAN, ELN, NID2, HAPLN1	14	258	20581	22.791805094130673	0.02258144663484163	0.022834516497380504	0.022834516497380504
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	3	20.0	8.340161223281072E-4	ACAN, ELN, HAPLN1	12	67	16881	62.98880597014925	0.020643056384269776	0.02085040305820268	0.02085040305820268
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	4	26.666666666666668	0.0021097693772869934	ACAN, MYBPH, NID2, HAPLN1	11	459	16792	13.303228362051891	0.14106657375994358	0.05268505418189759	0.05268505418189759
GOTERM_CC_DIRECT	GO:0005576~extracellular region	6	40.0	0.0037611852028568106	ACAN, NGFR, ELN, NID2, CRLF1, HAPLN1	14	1610	18224	4.851109139307897	0.08990556137743322	0.09402963007142026	0.09402963007142026
UP_SEQ_FEATURE	disulfide bond	7	46.666666666666664	0.006425790235076796	ACAN, NGFR, ELN, NPTX1, NID2, CRLF1, HAPLN1	14	2917	20063	3.4389784024682895	0.5532765526910618	0.26988318987322546	0.26988318987322546
UP_SEQ_FEATURE	signal peptide	7	46.666666666666664	0.01267481567021186	ACAN, NGFR, ELN, NPTX1, PLXDC2, NID2, CRLF1	14	3346	20063	2.998057381948595	0.7969855866287457	0.3992566936116736	0.3992566936116736
UP_KEYWORDS	Disulfide bond	7	46.666666666666664	0.012704486919206528	ACAN, NGFR, ELN, NPTX1, NID2, CRLF1, HAPLN1	14	3434	20581	2.9966511357018053	0.43750023096130264	0.18010013991845564	0.18010013991845564
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	3	20.0	0.015102146773937128	ACAN, ELN, HAPLN1	14	268	18224	14.571428571428571	0.31643507438445795	0.1518605181844404	0.1518605181844404
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	3	20.0	0.018223262182132847	ACAN, NID2, HAPLN1	14	296	18224	13.193050193050192	0.3685798410745519	0.1518605181844404	0.1518605181844404
UP_KEYWORDS	Secreted	5	33.33333333333333	0.029328149558075545	ACAN, ELN, NID2, CRLF1, HAPLN1	14	1965	20581	3.740639767357325	0.7380251589623	0.23614977601020137	0.23614977601020137
UP_KEYWORDS	Signal	7	46.666666666666664	0.031486636801360185	ACAN, NGFR, ELN, NPTX1, PLXDC2, NID2, CRLF1	14	4160	20581	2.4736778846153844	0.762997580253711	0.23614977601020137	0.23614977601020137
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	7	46.666666666666664	0.038312695654292	ACAN, NGFR, NPTX1, PLXDC2, NID2, CRLF1, HAPLN1	14	4234	20063	2.3692725555030703	0.992427568618832	0.9654799304881585	0.9654799304881585
UP_KEYWORDS	Glycoprotein	7	46.666666666666664	0.04721629907343873	ACAN, NGFR, NPTX1, PLXDC2, NID2, CRLF1, HAPLN1	14	4551	20581	2.2611513952977367	0.8865657087520717	0.30353335118639185	0.30353335118639185
UP_KEYWORDS	Polymorphism	10	66.66666666666666	0.31296290332055554	ACAN, NGFR, PSAT1, ELN, MYBPH, TM6SF1, PLXDC2, NID2, CRLF1, HAPLN1	14	12043	20581	1.2206854011221695	0.9999999538567227	1.0	1.0
UP_SEQ_FEATURE	sequence variant	10	66.66666666666666	0.41061778086492506	ACAN, NGFR, PSAT1, ELN, MYBPH, TM6SF1, PLXDC2, NID2, CRLF1, HAPLN1	14	12443	20063	1.1517089356034949	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	7	46.666666666666664	0.555107058254173	ACAN, NGFR, ELN, MYBPH, PLXDC2, NID2, CRLF1	12	8785	16881	1.1209163346613547	0.9999999983916229	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.8488572680773592
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	4	26.666666666666668	0.0021097693772869934	ACAN, MYBPH, NID2, HAPLN1	11	459	16792	13.303228362051891	0.14106657375994358	0.05268505418189759	0.05268505418189759
UP_KEYWORDS	Immunoglobulin domain	4	26.666666666666668	0.004354408717310417	ACAN, MYBPH, CRLF1, HAPLN1	14	546	20581	10.769754055468342	0.17829699293191403	0.0979741961394844	0.0979741961394844
INTERPRO	IPR007110:Immunoglobulin-like domain	4	26.666666666666668	0.011860817721678294	ACAN, MYBPH, CRLF1, HAPLN1	13	771	18559	7.406564900728325	0.4622972372208909	0.30838126076363565	0.30838126076363565
INTERPRO	IPR013783:Immunoglobulin-like fold	4	26.666666666666668	0.02084255926648819	ACAN, MYBPH, CRLF1, HAPLN1	13	951	18559	6.00469141794063	0.6655497823122003	0.36127102728579524	0.36127102728579524
UP_KEYWORDS	Secreted	5	33.33333333333333	0.029328149558075545	ACAN, ELN, NID2, CRLF1, HAPLN1	14	1965	20581	3.740639767357325	0.7380251589623	0.23614977601020137	0.23614977601020137
INTERPRO	IPR003599:Immunoglobulin subtype	3	20.0	0.0395516749739807	ACAN, MYBPH, HAPLN1	13	497	18559	8.617396687819223	0.8773554704616142	0.45553193077848825	0.45553193077848825
SMART	SM00409:IG	3	20.0	0.043383014811022136	ACAN, MYBPH, HAPLN1	8	497	10057	7.588279678068411	0.5295131483148705	0.36875562589368815	0.36875562589368815

Annotation Cluster 3	Enrichment Score: 0.03774582490753529
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	transmembrane region	3	20.0	0.8766452659104575	NGFR, TM6SF1, PLXDC2	14	5056	20063	0.85031928119349	1.0	1.0	1.0
UP_KEYWORDS	Transmembrane helix	3	20.0	0.9078134223286092	NGFR, TM6SF1, PLXDC2	14	5634	20581	0.7827856382169481	1.0	1.0	1.0
UP_KEYWORDS	Transmembrane	3	20.0	0.908853839563566	NGFR, TM6SF1, PLXDC2	14	5651	20581	0.7804307707864601	1.0	1.0	1.0
UP_KEYWORDS	Membrane	3	20.0	0.9765672653318443	NGFR, TM6SF1, PLXDC2	14	7494	20581	0.5884993709253117	1.0	1.0	1.0

