Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"BATF3"	"21.67"	"ARCHS4 Coexpression,17;Enrichr Queries,30;GTEx Coexpression,18"	"VCAM1,TNFAIP6,RSAD2,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,CXCL11,IL6,IL1B,CCL5,GBP2,CYTIP,BIRC3,TLR2"
"gene_set_query"	"2"	"RELB"	"31.5"	"ARCHS4 Coexpression,27;Enrichr Queries,7;ReMap ChIP-seq,28;GTEx Coexpression,64"	"CXCL8,VCAM1,TNFAIP6,RSAD2,CCL20,SQOR,TNC,TNFAIP3,KCTD4,SOD2,ICAM1,IFIT2,C3,CXCL10,CXCL11,IL6,IL1B,CCL5,CYTIP,GBP2,TLR2,BIRC3"
"gene_set_query"	"3"	"NFKB2"	"33.75"	"ARCHS4 Coexpression,35;Enrichr Queries,17;ReMap ChIP-seq,23;GTEx Coexpression,60"	"CSF2,MMP7,CXCL8,VCAM1,CCL20,SQOR,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,DPP4,C3,CXCL10,CXCL11,IL6,IL1B,CCL5,CYTIP,GBP2,BIRC3,TLR2"
"gene_set_query"	"4"	"TWIST2"	"38.5"	"ARCHS4 Coexpression,66;GTEx Coexpression,11"	"CPM,ELN,TNC,SVEP1,STEAP1,NID2,LINC02015"
"gene_set_query"	"5"	"MEOX2"	"39.33"	"ARCHS4 Coexpression,29;Enrichr Queries,84;GTEx Coexpression,5"	"NGFR,ANKRD29,VCAM1,ANGPT1,TNC,ABCA8,NID2,C3,CXCL10,IL6,SERTAD4,WIF1,OLFML1,SERPING1,APOD,SVEP1"
"gene_set_query"	"6"	"ARID5A"	"44.5"	"ARCHS4 Coexpression,33;GTEx Coexpression,56"	"TNFAIP6,TNFAIP3,CYTIP,GBP2,EVI2B,TLR2,ICAM1"
"gene_set_query"	"7"	"CSRNP1"	"48.5"	"ARCHS4 Coexpression,32;GTEx Coexpression,65"	"CXCL8,IL1B,TNFAIP3,CYTIP,GBP2,TLR2,ICAM1"
"gene_set_query"	"8"	"ZNF267"	"51.67"	"ARCHS4 Coexpression,1;Enrichr Queries,25;GTEx Coexpression,129"	"CXCL8,SERPINB2,TNFAIP6,RSAD2,CCL20,SQOR,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,IL1B,CCL5,CYTIP,EVI2B,GBP2,TLR2,BIRC3"
"gene_set_query"	"9"	"AEBP1"	"52.0"	"ARCHS4 Coexpression,91;GTEx Coexpression,13"	"ACAN,PPP1R14A,ELN,TNC,SERPING1,PLXDC2,NID2,HAPLN1"
"gene_set_query"	"10"	"NR1H3"	"52.8"	"Literature ChIP-seq,20;ARCHS4 Coexpression,107;Enrichr Queries,21;ReMap ChIP-seq,18;GTEx Coexpression,98"	"TNFAIP3,NID2,ICAM1,IFIT2,C3,DPP4,SRPX2,CCL5,SVEP1,GBP2,LINC02015,VCAM1,MMP7,RSAD2,MMP1,CCL20,FUCA1,SQOR,SOD2,CXCL10,TMEM158,PSAT1,IL1B,SERPING1,SNORD82,CRLF1,FGF10,TLR2,BIRC3"
"gene_set_query"	"11"	"SNAI1"	"60.33"	"ARCHS4 Coexpression,26;Enrichr Queries,112;GTEx Coexpression,43"	"CXCL8,VCAM1,SERPINB2,TNFAIP6,TNC,TNFAIP3,SOD2,ICAM1,C3,CXCL10,IL6,SRPX2,IL1B,SERPING1"
"gene_set_query"	"12"	"NFIL3"	"63.0"	"ARCHS4 Coexpression,105;Enrichr Queries,29;GTEx Coexpression,55"	"CXCL8,TNFAIP6,TNC,TNFAIP3,SOD2,ICAM1,IFIT2,C3,CXCL10,IL6,VNN2,PSAT1,IL1B,CYTIP,GBP2,EVI2B,TLR2,BIRC3"
"gene_set_query"	"13"	"EBF2"	"63.5"	"ARCHS4 Coexpression,126;GTEx Coexpression,1"	"NGFR,SRPX2,SERTAD4,PCDHB2,OLFML1,DNER,SERPING1,APOD,ABCA8,NID2,JAKMIP2"
"gene_set_query"	"14"	"EGR2"	"67.67"	"ARCHS4 Coexpression,57;Enrichr Queries,18;GTEx Coexpression,128"	"NGFR,CXCL8,VCAM1,TNFAIP6,RSAD2,TNC,TNFAIP3,ABCA8,TM6SF1,PLXDC2,ICAM1,IFIT2,RGS4,C3,CXCL10,IL6,IL1B,CCL5,APOD,GBP2,BIRC3,TLR2"
"gene_set_query"	"15"	"PLSCR1"	"70.5"	"ARCHS4 Coexpression,2;GTEx Coexpression,139"	"CXCL8,SERPINB2,TNFAIP6,RSAD2,CCL20,SQOR,SOD2,ICAM1,IFIT2,CXCL10,IL6,VNN1,IL1B,GBP2,TLR2"
"gene_set_query"	"16"	"PRRX1"	"73.0"	"ARCHS4 Coexpression,144;Enrichr Queries,63;GTEx Coexpression,12"	"VCAM1,ANGPT1,TNFAIP6,ELN,TNC,STC1,PLXDC2,NID2,RGS4,C3,CXCL10,OLFML1,SERPING1,SVEP1,PTCHD4"
"gene_set_query"	"17"	"AHR"	"75.2"	"Literature ChIP-seq,108;ARCHS4 Coexpression,56;Enrichr Queries,69;ReMap ChIP-seq,124;GTEx Coexpression,19"	"NGFR,CPM,ANKRD29,EHF,CXCL8,VCAM1,TNC,TNFAIP3,ABCA8,SOD2,PLXDC2,NID2,ICAM1,C3,CXCL10,IL6,IL1B,SERPING1,APOD,GBP2,LINC02015,BIRC3,TLR2"
"gene_set_query"	"18"	"TCF21"	"77.5"	"Literature ChIP-seq,34;ARCHS4 Coexpression,70;Enrichr Queries,144;GTEx Coexpression,62"	"ANKRD29,PPP1R14A,VCAM1,TNC,NID2,ICAM1,C3,DPP4,CXCL10,OLFML1,SERPING1,SVEP1"
"gene_set_query"	"19"	"FOS"	"79.4"	"ARCHS4 Coexpression,247;ENCODE ChIP-seq,6;Enrichr Queries,95;ReMap ChIP-seq,1;GTEx Coexpression,48"	"CXCL6,EHF,CXCL8,CSF2,TNC,TNFAIP3,CLDN1,ICAM1,IFIT2,DPP4,C3,SRPX2,CCL5,OLFML1,DNER,APOD,GBP2,LINC02015,NGFR,MMP7,ANGPT1,MMP1,CCL20,MMP3,SQOR,PLXDC2,KCTD4,CXCL10,IL6,CXCL11,PSAT1,IL1B,EVI2B,BMPR1B,BIRC3"
"gene_set_query"	"20"	"PRDM1"	"86.6"	"ARCHS4 Coexpression,38;ENCODE ChIP-seq,33;Enrichr Queries,15;ReMap ChIP-seq,5;GTEx Coexpression,342"	"EHF,CXCL8,TNFAIP6,TNC,TNFAIP3,CLDN1,IFIT2,ICAM1,C3,DPP4,RANBP3L,SERTAD4,CCL5,GBP2,CYTIP,LINC02015,NGFR,ANKRD29,SERPINB2,VCAM1,RSAD2,CCL20,CXCL10,IL6,VNN1,PSAT1,IL1B,EVI2B,BIRC3"
"gene_set_query"	"21"	"ZNF697"	"90.0"	"ARCHS4 Coexpression,111;Enrichr Queries,118;GTEx Coexpression,41"	"CXCL8,CCL20,TNC,TNFAIP3,NID2,ICAM1,CXCL10,IL6,SRPX2,TMEM158,IL1B,STEAP1,LINC02015,BIRC3"
