Annotation Cluster 1	Enrichment Score: 9.924112709683955
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	signal peptide	44	53.65853658536586	3.5312017714809622E-16	CPM, CXCL6, CSF2, CXCL8, PARM1, TNFAIP6, TNC, STC1, ICAM1, C3, SRPX2, WIF1, CCL5, DNER, OLFML1, SLITRK5, APOD, SVEP1, CD177, MMP7, VCAM1, SERPINB2, ANGPT1, MMP1, CCL20, FUCA1, MMP3, SOD2, MMP12, CXCL10, CXCL11, IL6, VNN1, TMEM158, PCDHB2, VNN2, PIP, SERPING1, SAA2, CD24, EVI2B, BMPR1B, FGF10, TLR2	74	3346	20063	3.5652574271821136	1.2922996006636822E-13	1.3736374891060942E-13	1.3136070589909179E-13
UP_KEYWORDS	Signal	46	56.09756097560976	2.6344235252944197E-14	CPM, CXCL6, CSF2, CXCL8, PARM1, TNFAIP6, TNC, STC1, RXFP1, ICAM1, C3, SRPX2, WIF1, CCL5, DNER, OLFML1, SLITRK5, APOD, SVEP1, CD177, MMP7, VCAM1, SERPINB2, ANGPT1, TMEM178B, KCND2, MMP1, CCL20, FUCA1, MMP3, MMP12, CXCL10, CXCL11, IL6, VNN1, TMEM158, PCDHB2, VNN2, PIP, SERPING1, SAA2, CD24, EVI2B, BMPR1B, FGF10, TLR2	75	4160	20581	3.034378205128205	4.367839423480291E-12	4.373143051988736E-12	4.136044934712239E-12
GOTERM_CC_DIRECT	GO:0005615~extracellular space	26	31.70731707317073	1.5211441361414302E-11	CPM, CXCL6, CSF2, CXCL8, TNFAIP6, TNC, STC1, ICAM1, C3, SRPX2, CCL5, APOD, MMP7, VCAM1, SERPINB2, ANGPT1, CCL20, MMP3, CXCL10, CXCL11, IL6, IL1B, PIP, SERPING1, SAA2, FGF10	72	1347	18224	4.885589375567103	1.4450818319744485E-9	1.4450869293343587E-9	1.41466404661153E-9
UP_KEYWORDS	Secreted	28	34.146341463414636	3.275832353400471E-10	CXCL6, CSF2, CXCL8, TNC, STC1, DPP4, C3, SRPX2, WIF1, CCL5, OLFML1, APOD, SVEP1, MMP7, SERPINB2, ANGPT1, MMP1, CCL20, MMP3, MMP12, CXCL10, CXCL11, IL6, IL1B, PIP, SERPING1, SAA2, FGF10	75	1965	20581	3.9102154368108573	5.437880690184471E-8	2.7189408533223907E-8	2.5715283974193696E-8
UP_KEYWORDS	Glycoprotein	41	50.0	2.0611013749240763E-9	CPM, CSF2, PARM1, TNFAIP6, PLPPR4, TNC, STC1, RXFP1, ICAM1, DPP4, C3, SRPX2, WIF1, CCL5, DNER, OLFML1, SLITRK5, APOD, SVEP1, PTCHD4, CD177, VCAM1, SERPINB2, ANGPT1, TMEM178B, MMP1, FUCA1, MMP3, ABCA8, MMP12, IL6, VNN1, TMEM158, PCDHB2, VNN2, PIP, SERPING1, CD24, EVI2B, FGF10, TLR2	75	4551	20581	2.472192192192192	3.4214277433441964E-7	1.1404760941246555E-7	1.0786430528769332E-7
UP_SEQ_FEATURE	disulfide bond	32	39.02439024390244	6.810289983562646E-9	CPM, CXCL6, CSF2, CXCL8, TNFAIP6, TNC, STC1, RXFP1, ICAM1, DPP4, C3, SRPX2, WIF1, CCL5, DNER, OLFML1, APOD, SVEP1, VCAM1, SERPINB2, ANGPT1, MMP1, CCL20, MMP3, RAB27B, MMP12, CXCL10, CXCL11, IL6, PIP, SERPING1, TLR2	74	2917	20063	2.974251591323926	2.6423890373550307E-6	1.3246014018029346E-6	1.2667139369426522E-6
UP_KEYWORDS	Disulfide bond	34	41.46341463414634	1.6952207684769018E-8	CPM, CXCL6, CSF2, CXCL8, TNFAIP6, TNC, STC1, RXFP1, CLDN1, ICAM1, DPP4, C3, SRPX2, WIF1, CCL5, DNER, OLFML1, APOD, SVEP1, VCAM1, SERPINB2, ANGPT1, MMP1, CCL20, MMP3, RAB27B, MMP12, CXCL10, CXCL11, IL6, PIP, SERPING1, BMPR1B, TLR2	75	3434	20581	2.716963696369637	2.8140625322192747E-6	7.035166189179142E-7	6.653741516271839E-7
GOTERM_CC_DIRECT	GO:0005576~extracellular region	24	29.268292682926827	2.0393409839797417E-8	CXCL6, CXCL8, MMP7, CSF2, SERPINB2, ANGPT1, MMP1, CCL20, MMP3, TNC, MMP12, C3, CXCL10, CXCL11, IL6, WIF1, IL1B, CCL5, PIP, OLFML1, SERPING1, SVEP1, APOD, FGF10	72	1610	18224	3.7730848861283643	1.937372078764099E-6	9.686869673903774E-7	9.482935575505799E-7
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	38	46.34146341463415	2.1424188386531833E-8	CPM, CSF2, PARM1, TNFAIP6, PLPPR4, TNC, STC1, RXFP1, ICAM1, DPP4, C3, WIF1, DNER, OLFML1, SLITRK5, APOD, SVEP1, PTCHD4, CD177, VCAM1, SERPINB2, ANGPT1, MMP1, FUCA1, MMP3, ABCA8, MMP12, IL6, VNN1, TMEM158, PCDHB2, VNN2, PIP, SERPING1, CD24, EVI2B, FGF10, TLR2	74	4234	20063	2.433306948895045	8.312550647815442E-6	2.7780030941202943E-6	2.6565993599299473E-6

Annotation Cluster 2	Enrichment Score: 4.198561175173429
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	14	17.073170731707318	1.8262420537216875E-9	CXCL6, CXCL8, TNFAIP6, CCL20, TNFAIP3, C3, CXCL10, CXCL11, IL6, VNN1, IL1B, CCL5, BMPR1B, TLR2	66	379	16792	9.398256976093387	1.4390776984507525E-6	1.4390787383326898E-6	1.3952489290433693E-6
UP_KEYWORDS	Inflammatory response	9	10.975609756097562	7.340613806756904E-8	C3, CXCL10, CXCL11, CXCL8, CCL20, CCL5, IL1B, TNFAIP3, TLR2	75	152	20581	16.248157894736842	1.2185345122817104E-5	2.437083783843292E-6	2.3049527353216677E-6
UP_KEYWORDS	Cytokine	9	10.975609756097562	4.0768706288801743E-7	CXCL6, CXCL10, IL6, CXCL11, CXCL8, CSF2, CCL20, CCL5, IL1B	75	190	20581	12.998526315789473	6.767377626115678E-5	1.127934207323515E-5	1.0667811478903123E-5
GOTERM_BP_DIRECT	GO:0006955~immune response	12	14.634146341463413	5.720934452895945E-7	C3, CXCL6, CXCL10, IL6, CXCL11, CXCL8, CSF2, CCL20, CCL5, IL1B, GBP2, TLR2	66	421	16792	7.2519974087670045	4.5070816438241845E-4	2.2540481744410021E-4	2.1853969610062507E-4
INTERPRO	IPR001811:Chemokine interleukin-8-like domain	6	7.317073170731707	7.466063202132951E-7	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	70	46	18559	34.58198757763975	1.5005666675549367E-4	1.500678703628723E-4	1.4185520084052607E-4
GOTERM_MF_DIRECT	GO:0008009~chemokine activity	6	7.317073170731707	1.2108466796832256E-6	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	66	49	16881	31.319109461966608	1.791893607591133E-4	1.7920530859311738E-4	1.7920530859311738E-4
SMART	SM00199:SCY	6	7.317073170731707	1.6802776087740531E-6	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	49	43	10057	28.638822971048885	8.905082282639754E-5	8.905471326502482E-5	8.905471326502482E-5
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	6	7.317073170731707	5.131325062251513E-6	CXCL6, CXCL10, VCAM1, CCL20, CCL5, SAA2	66	65	16792	23.485314685314687	0.004035330606655951	6.739140248423654E-4	6.533887245933592E-4
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	10	12.195121951219512	6.189145056376794E-6	CXCL6, CXCL10, IL6, CXCL11, CXCL8, CSF2, CCL20, CCL5, IL1B, BMPR1B	40	243	6879	7.077160493827161	6.063541854551824E-4	1.7497746914993764E-4	1.481952034637227E-4
GOTERM_BP_DIRECT	GO:0070098~chemokine-mediated signaling pathway	6	7.317073170731707	7.945261828152085E-6	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	66	71	16792	21.500640204865558	0.006241332652791587	8.944094743691204E-4	8.67168576672599E-4
INTERPRO	IPR001089:CXC chemokine	4	4.878048780487805	1.3696566025644955E-5	CXCL6, CXCL10, CXCL11, CXCL8	70	13	18559	81.57802197802197	0.002749242516637551	9.176699237182119E-4	8.674491816241805E-4
INTERPRO	IPR018048:CXC chemokine, conserved site	4	4.878048780487805	1.3696566025644955E-5	CXCL6, CXCL10, CXCL11, CXCL8	70	13	18559	81.57802197802197	0.002749242516637551	9.176699237182119E-4	8.674491816241805E-4
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	7	8.536585365853659	2.5073199693964976E-5	CXCL10, IL6, CXCL11, CXCL8, CCL5, IL1B, TLR2	40	106	6879	11.356839622641509	0.00245418791963814	4.0952892833476126E-4	3.4684592909984885E-4
UP_KEYWORDS	Chemotaxis	6	7.317073170731707	2.6104276699255284E-5	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	75	97	20581	16.9740206185567	0.004323991006802919	6.190442760109111E-4	5.854816345404399E-4
GOTERM_BP_DIRECT	GO:0002690~positive regulation of leukocyte chemotaxis	4	4.878048780487805	4.333552256362692E-5	CXCL6, CXCL10, IL6, CXCL11	66	18	16792	56.53872053872055	0.03357263108631148	0.004268548972517252	0.0041385424048263715
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	6	7.317073170731707	6.651025479080275E-5	IL6, VCAM1, CXCL8, CCL20, CCL5, ICAM1	66	110	16792	13.877685950413223	0.051062008845564444	0.005823342308350286	0.005645981628908145
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	6	7.317073170731707	1.0870047771592565E-4	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	66	122	16792	12.512667660208644	0.08209431399873857	0.008565597644014942	0.008304716497496721
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	5	6.097560975609756	1.6352195073328054E-4	IL6, CXCL8, CCL20, CCL5, ICAM1	66	71	16792	17.917200170721298	0.12090809782424794	0.011714117925256824	0.011357342760020575
BBID	109.Chemokine_families	6	7.317073170731707	2.228510422046054E-4	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	11	27	388	7.838383838383837	0.00599957890026992	0.00289706354865987	0.0027856380275575678
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	7	8.536585365853659	4.421212583741627E-4	CXCL6, CXCL10, CXCL11, TNFAIP6, CCL20, CCL5, IL1B	66	254	16792	7.011691720353138	0.294231917122024	0.023246840300643133	0.022538814707730143
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	6	7.317073170731707	5.785776350752544E-4	IL6, ANGPT1, CCL20, CCL5, ICAM1, FGF10	66	175	16792	8.723116883116884	0.3662185624174724	0.026990177115118266	0.02616814126389639
GOTERM_BP_DIRECT	GO:2000406~positive regulation of T cell migration	3	3.6585365853658534	6.507783822173186E-4	CXCL10, CCL20, CCL5	66	10	16792	76.32727272727273	0.4012914148750759	0.026990177115118266	0.02616814126389639
GOTERM_BP_DIRECT	GO:0030593~neutrophil chemotaxis	4	4.878048780487805	0.0021288093775074734	CXCL8, CCL20, CCL5, IL1B	66	66	16792	15.419651056014692	0.8134936268972501	0.06989590789482872	0.06776709851732124
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	6.097560975609756	0.003359198766521062	CXCL6, CXCL10, CXCL11, MMP7, FGF10	66	160	16881	7.9928977272727275	0.3922540466406944	0.16572047248170574	0.16572047248170574
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	6	7.317073170731707	0.0037383297164966882	CXCL6, CXCL10, CXCL11, CXCL8, CCL20, CCL5	40	186	6879	5.547580645161291	0.3072200093335581	0.02616830801547682	0.022162954747801795
GOTERM_BP_DIRECT	GO:0002548~monocyte chemotaxis	3	3.6585365853658534	0.011498428360141914	IL6, CCL20, CCL5	66	42	16792	18.173160173160174	0.9998898047319268	0.22569615668383586	0.21882216206402358
GOTERM_BP_DIRECT	GO:0007165~signal transduction	11	13.414634146341465	0.013265163563011374	C3, CXCL6, CXCL10, CXCL11, CXCL8, TNFAIP6, CCL20, WIF1, IL1B, PLPPR4, TLR2	66	1161	16792	2.4105656043640535	0.9999730869217035	0.23228775305895474	0.22521299915868198
GOTERM_BP_DIRECT	GO:0042127~regulation of cell proliferation	4	4.878048780487805	0.03492924678777646	CXCL6, CXCL10, CXCL11, TNC	66	185	16792	5.501064701064702	0.9999999999993199	0.38228120095510904	0.37063811869251684
UP_KEYWORDS	Citrullination	3	3.6585365853658534	0.04769749634924949	CXCL10, CXCL11, CXCL8	75	97	20581	8.48701030927835	0.9997003338178417	0.3948972954161448	0.3734872010863538
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	8	9.75609756097561	0.05813371637191789	C3, CXCL6, CXCL10, CXCL11, CXCL8, MRGPRX3, CCL20, CCL5	66	899	16792	2.2640644487140595	1.0	0.49792791848990536	0.482762601175492

Annotation Cluster 3	Enrichment Score: 2.7059582017481096
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04668:TNF signaling pathway	11	13.414634146341465	2.363858485252759E-10	CXCL10, IL6, VCAM1, CSF2, CCL20, CCL5, IL1B, MMP3, TNFAIP3, ICAM1, BIRC3	40	107	6879	17.679672897196262	2.3165808160641177E-8	1.1582906577738519E-8	9.81001271379895E-9
UP_KEYWORDS	Cytokine	9	10.975609756097562	4.0768706288801743E-7	CXCL6, CXCL10, IL6, CXCL11, CXCL8, CSF2, CCL20, CCL5, IL1B	75	190	20581	12.998526315789473	6.767377626115678E-5	1.127934207323515E-5	1.0667811478903123E-5
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	7	8.536585365853659	4.85839284667537E-6	CXCL10, IL6, CXCL8, CSF2, CCL20, TNFAIP3, ICAM1	66	113	16792	15.760793778492895	0.0038211037955265814	6.739140248423654E-4	6.533887245933592E-4
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	10	12.195121951219512	6.189145056376794E-6	CXCL6, CXCL10, IL6, CXCL11, CXCL8, CSF2, CCL20, CCL5, IL1B, BMPR1B	40	243	6879	7.077160493827161	6.063541854551824E-4	1.7497746914993764E-4	1.481952034637227E-4
KEGG_PATHWAY	hsa05144:Malaria	6	7.317073170731707	7.141937516323985E-6	IL6, VCAM1, CXCL8, IL1B, ICAM1, TLR2	40	49	6879	21.05816326530612	6.996674944313996E-4	1.7497746914993764E-4	1.481952034637227E-4
BIOCARTA	h_LairPathway:Cells and Molecules involved in local acute inflammatory response	5	6.097560975609756	7.71666492307443E-6	C3, IL6, VCAM1, CXCL8, ICAM1	15	17	1625	31.862745098039216	3.5490496237544633E-4	3.549665864614238E-4	3.3953325661527497E-4
BBID	18.Cytokine_astocytes	6	7.317073170731707	1.3651353514576755E-5	C3, IL6, VCAM1, CXCL8, CCL5, ICAM1	11	16	388	13.227272727272727	3.685211401672772E-4	3.549351913789956E-4	3.4128383786441886E-4
KEGG_PATHWAY	hsa04621:NOD-like receptor signaling pathway	6	7.317073170731707	1.389875836491973E-5	IL6, CXCL8, CCL5, IL1B, TNFAIP3, BIRC3	40	56	6879	18.425892857142856	0.0013611605649104241	2.7241566395242676E-4	2.3071938885766755E-4
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	7	8.536585365853659	2.5073199693964976E-5	CXCL10, IL6, CXCL11, CXCL8, CCL5, IL1B, TLR2	40	106	6879	11.356839622641509	0.00245418791963814	4.0952892833476126E-4	3.4684592909984885E-4
KEGG_PATHWAY	hsa05133:Pertussis	6	7.317073170731707	5.805948763141227E-5	C3, CXCL6, IL6, CXCL8, IL1B, SERPING1	40	75	6879	13.758000000000001	0.005673837606826271	8.128328268397718E-4	6.88419639058174E-4
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	6	7.317073170731707	6.651025479080275E-5	IL6, VCAM1, CXCL8, CCL20, CCL5, ICAM1	66	110	16792	13.877685950413223	0.051062008845564444	0.005823342308350286	0.005645981628908145
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	6	7.317073170731707	1.1828614694589503E-4	VCAM1, CXCL8, IL1B, TNFAIP3, ICAM1, BIRC3	40	87	6879	11.860344827586207	0.011525791281611686	0.0014490053000872141	0.0012272187745636608
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	5	6.097560975609756	1.6352195073328054E-4	IL6, CXCL8, CCL20, CCL5, ICAM1	66	71	16792	17.917200170721298	0.12090809782424794	0.011714117925256824	0.011357342760020575
KEGG_PATHWAY	hsa05134:Legionellosis	5	6.097560975609756	2.2759274872387192E-4	C3, IL6, CXCL8, IL1B, TLR2	40	54	6879	15.92361111111111	0.022059674700012022	0.00247823215277105	0.00209891090489793
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	6	7.317073170731707	2.7443450087424464E-4	C3, IL6, CXCL8, CCL5, IL1B, TLR2	40	104	6879	9.921634615384615	0.02653973550384159	0.0026721369794277527	0.0022631364213520767
KEGG_PATHWAY	hsa05146:Amoebiasis	6	7.317073170731707	2.999337425888294E-4	IL6, CXCL8, CSF2, SERPINB2, IL1B, TLR2	40	106	6879	9.73443396226415	0.028970000507856364	0.0026721369794277527	0.0022631364213520767
KEGG_PATHWAY	hsa05164:Influenza A	7	8.536585365853659	3.917666692694609E-4	CXCL10, IL6, CXCL8, RSAD2, CCL5, IL1B, ICAM1	40	174	6879	6.91853448275862	0.03767269868869916	0.0031994277990339305	0.0027097194624471047
GOTERM_BP_DIRECT	GO:0045429~positive regulation of nitric oxide biosynthetic process	4	4.878048780487805	6.116527528175023E-4	IL6, IL1B, SOD2, ICAM1	66	43	16792	23.66737138830162	0.38253311057099315	0.026990177115118266	0.02616814126389639
